번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,6급,가계02,명사,가계가 빠듯하다
2,6급,가까스로,부사,가까스로 살아남다
3,6급,가냘프다,형용사,몸이 가냘프다
4,6급,가누다,동사,몸을 가누다
5,6급,가늠,명사,가늠이 안 되다
6,6급,가다듬다,동사,마음을 가다듬다
7,6급,가담,명사,시위 가담
8,6급,가동,명사,기계 가동
9,6급,가뜩이나,부사,가뜩이나 힘든데
10,6급,가라앉히다,동사,찌꺼기를 가라앉히다
11,6급,가려내다,동사,불량품을 가려내다
12,6급,가령,부사,가령 비가 온다면
13,6급,가로지르다,동사,도로를 가로지르다
14,6급,가로채다,동사,돈을 가로채다
15,6급,가르침,명사,가르침을 받다
16,6급,가쁘다,형용사,숨이 가쁘다
17,6급,가상,명사,가상의 공간
18,6급,가설03,명사,가설을 세우다
19,6급,가세01,명사,시민들의 가세
20,6급,가속,명사,가속이 붙다
21,6급,가식적01∙ 가식적02,관형사∙ 명사,가식적 웃음
22,6급,가열,명사,급속 가열
23,6급,가엾다,형용사,아이가 가엾다
24,6급,가책,명사,양심의 가책
25,6급,가출,명사,가출 청소년
26,6급,가파르다,형용사,언덕이 가파르다
27,6급,가하다01,동사,박차를 가하다
28,6급,가혹00,명사,가혹 행위
29,6급,가훈,명사,가훈을 정하다
30,6급,가히,부사,가히 놀랄 만하다
31,6급,각02,명사,얼굴 각
32,6급,각계,명사,각계 대표
33,6급,각계각층,명사,사회 각계각층
34,6급,각기01/각기02,명사/부사,각기 다르다
35,6급,각도,명사,각도를 재다
36,6급,각박하다,형용사,세상이 각박하다
37,6급,각별하다,형용사,마음이 각별하다
38,6급,각별히,부사,각별히 생각하다
39,6급,각본,명사,각본을 쓰다
40,6급,각성,명사,각성을 촉구하다
41,6급,각양각색,명사,
42,6급,간과하다,동사,문제를 간과하다
43,6급,간담회,명사,간담회에 참여하다
44,6급,간략하다,형용사,설명이 간략하다
45,6급,간밤,명사,간밤에 꿈을 꾸다
46,6급,간부,명사,회사 간부
47,6급,간주01,명사,범죄자로 간주하다
48,6급,간첩,명사,간첩을 잡다
49,6급,갈래,명사,하위 갈래
50,6급,갈망,명사,자유를 갈망하다
51,6급,갈피,명사,갈피를 잡다
52,6급,감03,명사,감이 오다
53,6급,감격스럽다,형용사,감격스러운 순간
54,6급,감금,명사,감금을 당하다
55,6급,감당,명사,비용 감당
56,6급,감돌다,동사,긴장이 감돌다
57,6급,감량,명사,체중 감량
58,6급,감면,명사,학비 감면
59,6급,감명,명사,감명을 받다
60,6급,감소세00,명사,감소세를 보이다
61,6급,감수01,명사,고통 감수
62,6급,감수성,명사,감수성이 풍부하다
63,6급,감안,명사,현실을 감안하다
64,6급,감언이설,명사,
65,6급,감원,명사,근로자 감원
66,6급,감지,명사,감지 능력
67,6급,감쪽같이,부사,감쪽같이 사라지다
68,6급,감촉,명사,감촉이 부드럽다
69,6급,감축,명사,예산 감축
70,6급,감하다,동사,월급을 감하다
71,6급,감회,명사,감회가 새롭다
72,6급,값어치,명사,값어치가 떨어지다
73,6급,갓02,부사,갓 졸업하다
74,6급,강간,명사,강간을 당하다
75,6급,강세,명사,강세를 보이다
76,6급,강압,명사,강압을 받다
77,6급,강인하다,형용사,강인한 체력
78,6급,강점02,명사,강점을 살리다
79,6급,강제적01∙강제적02,관형사∙ 명사,강제적 조치
80,6급,강직하다,형용사,성품이 강직하다
